iter	Logloss
0	0.5702219834
1	0.468230097
2	0.3836369913
3	0.3244044458
4	0.273835661
5	0.2348225171
6	0.206571827
7	0.1838569084
8	0.1656362489
9	0.1515012489
10	0.1401477573
11	0.1307783341
12	0.1229110931
13	0.1170159236
14	0.1116106192
15	0.1066499463
16	0.1027059333
17	0.09952883396
18	0.09660718734
19	0.09389725077
20	0.09189824972
21	0.09015391121
22	0.08866813325
23	0.08701688456
24	0.0859411994
25	0.08485022437
26	0.08378794799
27	0.08293257728
28	0.08203409573
29	0.08129905119
30	0.080608178
31	0.08004841147
32	0.07951290989
33	0.07888241127
34	0.07843264274
35	0.07797291523
36	0.07758535198
37	0.07710608132
38	0.07675475646
39	0.07632849937
40	0.07596798345
41	0.07574548142
42	0.07536790787
43	0.07499159357
44	0.07469461135
45	0.07446562011
46	0.07416063129
47	0.07387782623
48	0.07370044479
49	0.07344827137
50	0.07324020343
51	0.07300751963
52	0.07289378339
53	0.07265543786
54	0.07240083425
55	0.07228313674
56	0.07214417899
57	0.07194683033
58	0.07173451256
59	0.07151353029
60	0.0713106067
61	0.07117740106
62	0.07100429607
63	0.07083340259
64	0.07069772684
65	0.07049074272
66	0.07026514839
67	0.07009106459
68	0.06994441942
69	0.06979255481
70	0.06967302312
71	0.06953446066
72	0.06942448855
73	0.06922443404
74	0.0690884042
75	0.06895569722
76	0.06887200045
77	0.06877610347
78	0.06863196475
79	0.06846373283
80	0.06828004777
81	0.06815405477
82	0.06799248427
83	0.06786137671
84	0.06772169015
85	0.06759108749
86	0.06747638543
87	0.06740490169
88	0.06733497441
89	0.0672760544
90	0.06711128048
91	0.06701450638
92	0.06688146871
93	0.06676359594
94	0.06665493054
95	0.06653552145
96	0.06642569373
97	0.06631999826
98	0.06619202175
99	0.06609200831
100	0.06598765274
101	0.065935098
102	0.06584312555
103	0.06572050369
104	0.06563691024
105	0.06555376418
106	0.06549405699
107	0.06539840694
108	0.06530674162
109	0.06523521269
110	0.06513158133
111	0.06498647925
112	0.0648709794
113	0.06480793101
114	0.0647432878
115	0.06461627129
116	0.06452334761
117	0.06446328051
118	0.06436951916
119	0.06430384068
120	0.06425588324
121	0.06417913605
122	0.06411009118
123	0.06399794245
124	0.063901111
125	0.06378970722
126	0.06367858934
127	0.06356556506
128	0.0634558061
129	0.0633975181
130	0.06331120927
131	0.06324163292
132	0.06311487664
133	0.06304754786
134	0.06298403019
135	0.06287894646
136	0.06281737954
137	0.06274451801
138	0.06269300505
139	0.06259438892
140	0.06253862874
141	0.06246189628
142	0.06240431836
143	0.06231462261
144	0.06221493635
145	0.06210846088
146	0.06206039391
147	0.06199292429
148	0.061864602
149	0.06178732509
150	0.06172129313
151	0.06161927436
152	0.0615428921
153	0.06147613123
154	0.06140180465
155	0.06134160755
156	0.06128772501
157	0.06121543033
158	0.06113391874
159	0.06102196409
160	0.0609155116
161	0.06084726085
162	0.06076011523
163	0.06067363004
164	0.06060846784
165	0.0605189741
166	0.06042738631
167	0.06038352123
168	0.06032045917
169	0.06022699889
170	0.06015047277
171	0.06009820649
172	0.06000686712
173	0.05996457775
174	0.05991130293
175	0.05984435975
176	0.05975498698
177	0.0596736699
178	0.05959144713
179	0.05954885667
180	0.05947973433
181	0.05941708938
182	0.05937797371
183	0.05933633836
184	0.05924449416
185	0.05919884938
186	0.05913021749
187	0.05908314009
188	0.05905166782
189	0.05900549741
190	0.0589370625
191	0.05888798342
192	0.05885105676
193	0.05878313572
194	0.05869839378
195	0.0586439087
196	0.05858471458
197	0.05851398317
198	0.05846597302
199	0.05840766014
200	0.05838569908
201	0.05832303081
202	0.05824976211
203	0.05819769294
204	0.05816760606
205	0.0581111382
206	0.05807195346
207	0.05801788563
208	0.0579867957
209	0.05790491691
210	0.05787141024
211	0.05782104287
212	0.05776501872
213	0.05767658144
214	0.05764286868
215	0.05757433922
216	0.05752902403
217	0.05748474744
218	0.05744202184
219	0.05739492398
220	0.05732095903
221	0.05722901954
222	0.05717156726
223	0.05710992104
224	0.05707130561
225	0.05701929531
226	0.0569346438
227	0.05686357263
228	0.0568265524
229	0.05678032136
230	0.05673348939
231	0.05667780844
232	0.05661684338
233	0.0565673865
234	0.05652477571
235	0.05648653408
236	0.0564085827
237	0.05634462039
238	0.05628513804
239	0.05626052496
240	0.05623226083
241	0.05619632617
242	0.05611470817
243	0.05604843706
244	0.05599639035
245	0.05594039316
246	0.05588336824
247	0.05583291311
248	0.05577042915
249	0.05569624145
250	0.05561584587
251	0.05558382538
252	0.05552618478
253	0.05544453176
254	0.05535518729
255	0.05531675848
256	0.05526546245
257	0.05521565025
258	0.05515539016
259	0.05511070369
260	0.05503751503
261	0.05501650519
262	0.05498420341
263	0.05494916327
264	0.0548881953
265	0.05479301933
266	0.05474060071
267	0.05469269394
268	0.05465309636
269	0.05453989435
270	0.05448191839
271	0.05444058435
272	0.05442241027
273	0.05439323111
274	0.0543556158
275	0.05432013315
276	0.0542977754
277	0.05423824267
278	0.05419304571
279	0.05414905235
280	0.05406570733
281	0.05403956849
282	0.05398485009
283	0.05390385686
284	0.05384587383
285	0.05381070975
286	0.05377093145
287	0.05372081493
288	0.05365733538
289	0.05360946109
290	0.05355950105
291	0.05352871823
292	0.05350272882
293	0.05345394102
294	0.05341768589
295	0.05337475777
296	0.05335183646
297	0.05331045198
298	0.0532751538
299	0.05324944856
